MAT-0   
MAT-236   294.6557828964 342.3791349608
MAT-237   275.9774697734 541.3489448972
MAT-238   219.9425304044 303.4866662900
MAT-239   2087.7738427038 190.4821661903
MAT-240   182.5859041584 312.5479590619
MAT-241   2087.7738427038 190.4821661903
MAT-242   1957.0256508428 264.1512374079
MAT-243   2106.4521558268 303.4866662900
MAT-244   257.2991566504 342.3791349608
MAT-245   257.2991566504 342.3791349608
MAT-246   1583.4593883830 1498.9273546162
MAT-247   462.7606010033 1593.6881421903
MAT-248   294.6557828964 769.2200142876
MAT-249   1153.8581865541 1635.1793714784
MAT-250   294.6557828964 74.7132524920
MAT-251   1247.2497521691 1656.3778111085
MAT-252   238.6208435274 190.4821661903
MAT-253   1788.9208327359 741.5078587892
MAT-254   201.2642172814 274.5140184436
MAT-255   182.5859041584 312.5479590619
MAT-256   2013.0605902118 823.5420553308
MAT-257   238.6208435274 303.4866662900
MAT-258   1639.4943277519 1551.9868708390
MAT-259   201.2642172814 432.4342126621
MAT-260   275.9774697734 391.7996014458
MAT-261   1863.6340852279 1632.6170621923
MAT-262   1321.9630046610 1765.6687542384
MAT-263   780.2919240942 1236.7243859619
MAT-264   182.5859041584 289.3631826424
MAT-265   182.5859041584 289.3631826424
MAT-266   1284.6063784151 1891.5884681328
MAT-267   1583.4593883830 1517.4333314502
MAT-268   1994.3822770888 224.1397574759
MAT-269   2274.5569739337 303.4866662900
MAT-270   1377.9979440300 1887.8961193689
MAT-271   2218.5220345648 969.8344247866
MAT-272   2255.8786608107 778.2381419754
MAT-273   145.2292779124 224.1397574759
MAT-274   257.2991566504 247.7958253830
MAT-275   388.0473485113 520.3175950798
MAT-276   1639.4943277519 1793.8961540336
MAT-277   2162.4870951958 183.0093456291
MAT-278   1788.9208327359 1537.5326619208
MAT-279   126.5509647894 190.4821661903
MAT-280   33.1593991745 253.3649662566
MAT-281   2461.3401051637 840.3165280941
MAT-282   313.3340960194 509.4764563292
MAT-283   89.1943385434 204.6106686722
MAT-284   1321.9630046610 2047.4703034587
MAT-285   2162.4870951958 506.7299325131
MAT-286   2199.8437214418 190.4821661903
MAT-287   238.6208435274 279.5513930765
MAT-288   1079.1449340621 1758.5411096284
MAT-289   2069.0955295808 183.0093456291
MAT-290   444.0822878803 217.8246905941
MAT-291   163.9075910354 247.7958253830
MAT-292   836.3268634632 1283.2422526122
MAT-293   1079.1449340621 1862.5940421529
MAT-294   126.5509647894 190.4821661903
MAT-295   1023.1099946931 1779.8384141756
MAT-296   294.6557828964 478.3982378888
MAT-297   201.2642172814 183.0093456291
MAT-298   257.2991566504 506.7299325131
MAT-299   257.2991566504 492.7677437292
MAT-300   182.5859041584 264.1512374079
MAT-301   1340.6413177840 1928.8467332243
MAT-302   481.4389141263 342.3791349608
MAT-303   1452.7111965220 1914.3220782541
MAT-304   257.2991566504 321.3538498473
MAT-305   1676.8509539979 1818.6194030152
MAT-306   780.2919240942 1405.7214569989
MAT-307   313.3340960194 190.4821661903
MAT-308   238.6208435274 346.4311000841
MAT-309   2237.2003476878 514.9255573883
MAT-310   201.2642172814 183.0093456291
MAT-311   257.2991566504 362.1859291874
MAT-312   1919.6690245969 2211.9413285247
MAT-313   1938.3473377198 1668.1312729573
MAT-314   182.5859041584 264.1512374079
MAT-315   1994.3822770888 190.4821661903
MAT-316   182.5859041584 354.3960739108
MAT-317   705.5786716022 1142.8929971417
MAT-318   2013.0605902118 325.6675173558
MAT-319   1676.8509539979 1362.3649685608
MAT-320   1975.7039639658 1012.0819447901
MAT-321   2125.1304689498 1988.6921995078
MAT-322   2106.4521558268 346.4311000841
MAT-323   855.0051765862 1869.3249801209
MAT-324   163.9075910354 247.7958253830
MAT-325   107.8726516664 217.8246905941
MAT-326   1041.7883078161 1967.5277921580
MAT-327   257.2991566504 380.9643323806
MAT-328   350.6907222654 298.8530099679
MAT-329   1919.6690245969 1626.6226441368
MAT-330   2143.8087820728 442.0095625974
MAT-331   1434.0328833990 1538.4400285751
MAT-332   238.6208435274 366.0186912581
MAT-333   2069.0955295808 415.9857846559
MAT-334   350.6907222654 183.0093456291
MAT-335   238.6208435274 419.3270896148
MAT-336   1639.4943277519 1375.6168664269
MAT-337   182.5859041584 167.0639113922
MAT-338   1863.6340852279 1326.0286877922
MAT-339   2872.2629938696 1846.7931204754
MAT-340   182.5859041584 312.5479590619
MAT-341   219.9425304044 224.1397574759
MAT-342   462.7606010033 708.7921478217
MAT-343   2069.0955295808 298.8530099679
MAT-344   70.5160254204 247.7958253830
MAT-345   1994.3822770888 253.3649662566
MAT-346   1900.9907114739 1839.9797592350
MAT-347   219.9425304044 149.4265049840
MAT-348   275.9774697734 354.3960739108
MAT-349   2872.2629938696 1467.8825081732
MAT-350   574.8304797413 1207.0295338390
MAT-351   1676.8509539979 1417.5842956434
MAT-352   294.6557828964 321.3538498473
MAT-353   182.5859041584 236.2640492739
MAT-354   1508.7461358910 1564.5247642470
MAT-355   369.3690353883 264.1512374079
MAT-356   369.3690353883 264.1512374079
MAT-357   275.9774697734 118.1320246369
MAT-358   201.2642172814 298.8530099679
MAT-359   2031.7389033348 478.3982378888
MAT-360   1172.5364996771 1770.4045752278
MAT-361   294.6557828964 139.7756965383
MAT-362   163.9075910354 298.8530099679
MAT-363   2237.2003476878 566.5412876666
MAT-364   332.0124091424 253.3649662566
MAT-365   332.0124091424 253.3649662566
MAT-366   2181.1654083188 346.4311000841
MAT-367   294.6557828964 247.7958253830
MAT-368   2293.2352870567 904.3081716687
MAT-369   145.2292779124 366.0186912581
MAT-370   1919.6690245969 1487.7132767537
MAT-371   219.9425304044 402.3431779463
MAT-372   332.0124091424 303.4866662900
MAT-373   219.9425304044 366.0186912581
MAT-374   2162.4870951958 583.5291560614
MAT-375   2162.4870951958 139.7756965383
MAT-376   1714.2075802439 1542.9688580030
MAT-377   182.5859041584 409.2213373443
MAT-378   2311.9136001797 463.5835402280
MAT-379   2218.5220345648 298.8530099679
MAT-380   275.9774697734 442.0095625974
MAT-381   238.6208435274 91.5046728145
MAT-382   126.5509647894 481.3064606507
MAT-383   163.9075910354 321.3538498473
MAT-384   1620.8160146289 1080.1169614756
MAT-385   2031.7389033348 247.7958253830
MAT-386   500.1172272493 1033.9083246369
MAT-387   238.6208435274 190.4821661903
MAT-388   1583.4593883830 1764.0873219872
MAT-389   2106.4521558268 733.9412540866
MAT-390   219.9425304044 253.3649662566
MAT-391   2087.7738427038 2518.7343381741
MAT-392   1732.8858933669 1161.0641363207
MAT-393   219.9425304044 419.3270896148
MAT-394   406.7256616343 481.3064606507
MAT-395   1471.3895096450 1409.6868286478
MAT-396   107.8726516664 321.3538498473
MAT-397   107.8726516664 321.3538498473
MAT-398   163.9075910354 247.7958253830
MAT-399   1826.2774589819 1111.9480773361
MAT-40   275.9774697734 391.7996014458
MAT-41   2162.4870951958 321.3538498473
MAT-42   257.2991566504 298.8530099679
MAT-43   238.6208435274 253.3649662566
MAT-44   201.2642172814 415.9857846559
MAT-45   350.6907222654 398.8596216603
MAT-46   1546.1027621370 1873.7988396831
MAT-47   1546.1027621370 1873.7988396831
MAT-48   2125.1304689498 830.2925129702
MAT-49   238.6208435274 253.3649662566
MAT-50   145.2292779124 224.1397574759
MAT-51   2610.7666101476 1304.8108598064
MAT-52   313.3340960194 481.3064606507
MAT-53   1471.3895096450 1705.3616980047
MAT-54   388.0473485113 217.8246905941
MAT-55   201.2642172814 362.1859291874
MAT-56   350.6907222654 274.5140184436
MAT-57   2573.4099839016 1136.7714051958
MAT-58   2853.5846807466 1350.0169950686
MAT-59   201.2642172814 217.8246905941
MAT-60   1863.6340852279 1163.4655124876
MAT-61   1957.0256508428 118.1320246370
MAT-62   313.3340960194 384.6100071438
MAT-63   219.9425304044 303.4866662900
MAT-64   2218.5220345648 183.0093456291
MAT-65   2498.6967314097 778.2381419754
MAT-66   275.9774697734 312.5479590619
MAT-67   145.2292779124 224.1397574759
MAT-68   2741.5148020086 2627.2094846225
MAT-69   294.6557828964 448.2795149519
MAT-70   238.6208435274 366.0186912581
MAT-71   2517.3750445327 487.0708153462
MAT-72   219.9425304044 149.4265049840
