MAT-0   
MAT-240   12.5000000000 13.9443337756
MAT-241   97.5000000000 8.4983658560
MAT-242   91.6666666667 11.7851130198
MAT-243   98.3333333333 13.5400640077
MAT-244   15.8333333333 15.2752523165
MAT-245   15.8333333333 15.2752523165
MAT-246   75.0000000000 66.8746754925
MAT-247   25.0000000000 71.1024300257
MAT-248   17.5000000000 34.3187671366
MAT-249   55.8333333333 72.9535620941
MAT-250   17.5000000000 3.3333333333
MAT-251   60.0000000000 73.8993309247
MAT-252   15.0000000000 8.4983658560
MAT-253   84.1666666667 33.0823887355
MAT-254   13.3333333333 12.2474487139
MAT-255   12.5000000000 13.9443337756
MAT-256   94.1666666667 36.7423461417
MAT-257   15.0000000000 13.5400640077
MAT-258   77.5000000000 69.2419269261
MAT-259   13.3333333333 19.2930615047
MAT-260   16.6666666667 17.4801474695
MAT-261   87.5000000000 72.8392446114
MAT-262   63.3333333333 78.7753486540
MAT-263   39.1666666667 55.1764845242
MAT-264   12.5000000000 12.9099444874
MAT-265   12.5000000000 12.9099444874
MAT-266   61.6666666667 84.3932593411
MAT-267   75.0000000000 67.7003200386
MAT-268   93.3333333333 10.0000000000
MAT-269   105.8333333333 13.5400640077
MAT-270   65.8333333333 84.2285251233
MAT-271   103.3333333333 43.2691832858
MAT-272   105.0000000000 34.7211110933
MAT-273   10.8333333333 10.0000000000
MAT-274   15.8333333333 11.0554159679
MAT-275   21.6666666667 23.2139804620
MAT-276   77.5000000000 80.0347146903
MAT-277   100.8333333333 8.1649658093
MAT-278   84.1666666667 68.5970520909
MAT-279   10.0000000000 8.4983658560
MAT-280   5.8333333333 11.3038833052
MAT-281   114.1666666667 37.4907395973
MAT-282   18.3333333333 22.7303028283
MAT-283   8.3333333333 9.1287092918
MAT-284   63.3333333333 91.3479307070
MAT-285   100.8333333333 22.6077666104
MAT-286   102.5000000000 8.4983658560
MAT-287   15.0000000000 12.4721912892
MAT-288   52.5000000000 78.4573486396
MAT-289   96.6666666667 8.1649658093
MAT-290   24.1666666667 9.7182531581
MAT-291   11.6666666667 11.0554159679
MAT-292   41.6666666667 57.2518801244
MAT-293   52.5000000000 83.0996724155
MAT-294   10.0000000000 8.4983658560
MAT-295   50.0000000000 79.4075283305
MAT-296   17.5000000000 21.3437474581
MAT-297   13.3333333333 8.1649658093
MAT-298   15.8333333333 22.6077666104
MAT-299   15.8333333333 21.9848432638
MAT-300   12.5000000000 11.7851130198
MAT-301   64.1666666667 86.0555376228
MAT-302   25.8333333333 15.2752523165
MAT-303   69.1666666667 85.4075198355
MAT-304   15.8333333333 14.3372087784
MAT-305   79.1666666667 81.1377429643
MAT-306   39.1666666667 62.7162924074
MAT-307   18.3333333333 8.4983658560
MAT-308   15.0000000000 15.4560308258
MAT-309   104.1666666667 22.9734145868
MAT-310   13.3333333333 8.1649658093
MAT-311   15.8333333333 16.1589328581
MAT-312   90.0000000000 98.6858089539
MAT-313   90.8333333333 74.4237118726
MAT-314   12.5000000000 11.7851130198
MAT-315   93.3333333333 8.4983658560
MAT-316   12.5000000000 15.8113883008
MAT-317   35.8333333333 50.9901951359
MAT-318   94.1666666667 14.5296631451
MAT-319   79.1666666667 60.7819417627
MAT-320   92.5000000000 45.1540572805
MAT-321   99.1666666667 88.7255443614
MAT-322   98.3333333333 15.4560308258
MAT-323   42.5000000000 83.3999733546
MAT-324   11.6666666667 11.0554159679
MAT-325   9.1666666667 9.7182531581
MAT-326   50.8333333333 87.7812938818
MAT-327   15.8333333333 16.9967317120
MAT-328   20.0000000000 13.3333333333
MAT-329   90.0000000000 72.5718035236
MAT-330   100.0000000000 19.7202659437
MAT-331   68.3333333333 68.6375342732
MAT-332   15.0000000000 16.3299316186
MAT-333   96.6666666667 18.5592145428
MAT-334   20.0000000000 8.1649658093
MAT-335   15.0000000000 18.7082869339
MAT-336   77.5000000000 61.3731754651
MAT-337   12.5000000000 7.4535599250
MAT-338   87.5000000000 59.1607978310
MAT-339   132.5000000000 82.3947139621
MAT-340   12.5000000000 13.9443337756
MAT-341   14.1666666667 10.0000000000
MAT-342   25.0000000000 31.6227766017
MAT-343   96.6666666667 13.3333333333
MAT-344   7.5000000000 11.0554159679
MAT-345   93.3333333333 11.3038833052
