MAT-0   
MAT-240   0.6978614015 0.7784969850
MAT-241   5.4433189320 0.4744545206
MAT-242   5.1176502779 0.6579500391
MAT-243   5.4898430254 0.7559270436
MAT-244   0.8839577753 0.8528007192
MAT-245   0.8839577753 0.8528007192
MAT-246   4.1871684092 3.7335403813
MAT-247   1.3957228031 3.9695713176
MAT-248   0.9770059622 1.9159794346
MAT-249   3.1171142602 4.0729180072
MAT-250   0.9770059622 0.1860963737
MAT-251   3.3497347274 4.1257192521
MAT-252   0.8374336818 0.4744545206
MAT-253   4.6989334370 1.8469537735
MAT-254   0.7443854950 0.6837617380
MAT-255   0.6978614015 0.7784969850
MAT-256   5.2572225582 2.0512852139
MAT-257   0.8374336818 0.7559270436
MAT-258   4.3267406895 3.8657014536
MAT-259   0.7443854950 1.0771106353
MAT-260   0.9304818687 0.9758976170
MAT-261   4.8850298108 4.0665357865
MAT-262   3.5358311011 4.3979420175
MAT-263   2.1866323915 3.0804431058
MAT-264   0.6978614015 0.7207481563
MAT-265   0.6978614015 0.7207481563
MAT-266   3.4427829142 4.7115838595
MAT-267   4.1871684092 3.7796352181
MAT-268   5.2106984648 0.5582891212
MAT-269   5.9085598663 0.7559270436
MAT-270   3.6754033814 4.7023869274
MAT-271   5.7689875860 2.4156714313
MAT-272   5.8620357729 1.9384418600
MAT-273   0.6048132147 0.5582891212
MAT-274   0.8839577753 0.6172118466
MAT-275   1.2096264293 1.2960112752
MAT-276   4.3267406895 4.4682510532
MAT-277   5.6294153057 0.4558411587
MAT-278   4.6989334370 3.8296987931
MAT-279   0.5582891212 0.4744545206
MAT-280   0.3256686541 0.6310835077
MAT-281   6.3738008007 2.0930672064
MAT-282   1.0235300556 1.2690080791
MAT-283   0.4652409344 0.5096459088
MAT-284   3.5358311011 5.0998555961
MAT-285   5.6294153057 1.2621670154
MAT-286   5.7224634926 0.4744545206
MAT-287   0.8374336818 0.6963088715
MAT-288   2.9310178865 4.3801884226
MAT-289   5.3967948385 0.4558411587
MAT-290   1.3491987096 0.5425595016
MAT-291   0.6513373081 0.6172118466
MAT-292   2.3262046718 3.1963101843
MAT-293   2.9310178865 4.6393643087
MAT-294   0.5582891212 0.4744545206
MAT-295   2.7914456061 4.4332359211
MAT-296   0.9770059622 1.1915982012
MAT-297   0.7443854950 0.4558411587
MAT-298   0.8839577753 1.2621670154
MAT-299   0.8839577753 1.2273898826
MAT-300   0.6978614015 0.6579500391
MAT-301   3.5823551946 4.8043870476
MAT-302   1.4422468965 0.8528007192
MAT-303   3.8614997552 4.7682089195
MAT-304   0.8839577753 0.8004307690
MAT-305   4.4197888764 4.5298319218
MAT-306   2.1866323915 3.5013823775
MAT-307   1.0235300556 0.4744545206
MAT-308   0.8374336818 0.8628933867
MAT-309   5.8155116795 1.2825807441
MAT-310   0.7443854950 0.4558411587
MAT-311   0.8839577753 0.9021356425
MAT-312   5.0246020911 5.5095213559
MAT-313   5.0711261845 4.1549948700
MAT-314   0.6978614015 0.6579500391
MAT-315   5.2106984648 0.4744545206
MAT-316   0.6978614015 0.8827326080
MAT-317   2.0005360177 2.8467271234
MAT-318   5.2572225582 0.8111752869
MAT-319   4.4197888764 3.3933896853
MAT-320   5.1641743714 2.5209018959
MAT-321   5.5363671189 4.9534506192
MAT-322   5.4898430254 0.8628933867
MAT-323   2.3727287652 4.6561297835
MAT-324   0.6513373081 0.6172118466
MAT-325   0.5117650278 0.5425595016
MAT-326   2.8379696996 4.9007341422
MAT-327   0.8839577753 0.9489090411
MAT-328   1.1165782425 0.7443854950
MAT-329   5.0246020911 4.0516048415
MAT-330   5.5828912123 1.1009609944
MAT-331   3.8149756617 3.8319588693
MAT-332   0.8374336818 0.9116823173
MAT-333   5.3967948385 1.0361407578
MAT-334   1.1165782425 0.4558411587
MAT-335   0.8374336818 1.0444633072
MAT-336   4.3267406895 3.4263976197
MAT-337   0.6978614015 0.4161241421
MAT-338   4.8850298108 3.3028829832
MAT-339   7.3973308563 4.6000072452
MAT-340   0.6978614015 0.7784969850
MAT-341   0.7909095884 0.5582891212
MAT-342   1.3957228031 1.7654652160
MAT-343   5.3967948385 0.7443854950
MAT-344   0.4187168409 0.6172118466
MAT-345   5.2106984648 0.6310835077
MAT-346   4.9780779976 4.5830364699
MAT-347   0.7909095884 0.3721927475
MAT-348   0.9304818687 0.8827326080
MAT-349   7.3973308563 3.6562136266
MAT-350   1.6748673637 3.0064789278
MAT-351   4.4197888764 3.5309304320
MAT-352   0.9770059622 0.8004307690
MAT-353   0.6978614015 0.5884884053
MAT-354   4.0010720355 3.8969309399
MAT-355   1.1631023359 0.6579500391
MAT-356   1.1631023359 0.6579500391
MAT-357   0.9304818687 0.2942442027
MAT-358   0.7443854950 0.7443854950
MAT-359   5.3037466517 1.1915982012
MAT-360   3.1636383536 4.4097380387
MAT-361   0.9770059622 0.3481544357
MAT-362   0.6513373081 0.7443854950
MAT-363   5.8155116795 1.4111456227
MAT-364   1.0700541490 0.6310835077
MAT-365   1.0700541490 0.6310835077
MAT-366   5.6759393992 0.8628933867
MAT-367   0.9770059622 0.6172118466
MAT-368   5.9550839598 2.2524581099
MAT-369   0.6048132147 0.9116823173
MAT-370   5.0246020911 3.7056082655
MAT-371   0.7909095884 1.0021596426
MAT-372   1.0700541490 0.7559270436
MAT-373   0.7909095884 0.9116823173
MAT-374   5.6294153057 1.4534591427
MAT-375   5.6294153057 0.3481544357
MAT-376   4.5128370633 3.8432393143
MAT-377   0.6978614015 1.0192918177
MAT-378   6.0016080532 1.1546976324
MAT-379   5.7689875860 0.7443854950
MAT-380   0.9304818687 1.1009609944
MAT-381   0.8374336818 0.2279205793
MAT-382   0.5582891212 1.1988420260
MAT-383   0.6513373081 0.8004307690
MAT-384   4.2802165961 2.6903640659
MAT-385   5.3037466517 0.6172118466
MAT-386   1.4887709899 2.5752672194
MAT-387   0.8374336818 0.4744545206
MAT-388   4.1871684092 4.3940029732
MAT-389   5.4898430254 1.8281068133
MAT-390   0.7909095884 0.6310835077
MAT-391   5.4433189320 6.2736838663
MAT-392   4.5593611567 2.8919879438
MAT-393   0.7909095884 1.0444633072
MAT-394   1.2561505228 1.1988420260
MAT-395   3.9080238486 3.5112593573
MAT-396   0.5117650278 0.8004307690
MAT-397   0.5117650278 0.8004307690
MAT-398   0.6513373081 0.6172118466
MAT-399   4.7919816239 2.7696492668
MAT-40   0.9304818687 0.9758976170
MAT-41   5.6294153057 0.8004307690
MAT-42   0.8839577753 0.7443854950
MAT-43   0.8374336818 0.6310835077
MAT-44   0.7443854950 1.0361407578
MAT-45   1.1165782425 0.9934827724
MAT-46   4.0941202223 4.6672733091
MAT-47   4.0941202223 4.6672733091
MAT-48   5.5363671189 2.0680993084
MAT-49   0.8374336818 0.6310835077
MAT-50   0.6048132147 0.5582891212
MAT-51   6.7459935482 3.2500334456
MAT-52   1.0235300556 1.1988420260
MAT-53   3.9080238486 4.2477287139
MAT-54   1.2096264293 0.5425595016
MAT-55   0.7443854950 0.9021356425
MAT-56   1.1165782425 0.6837617380
MAT-57   6.6529453613 2.8314794126
MAT-58   7.3508067629 3.3626332531
MAT-59   0.7443854950 0.5425595016
MAT-60   4.8850298108 2.8979693110
MAT-61   5.1176502779 0.2942442027
MAT-62   1.0235300556 0.9579897173
MAT-63   0.7909095884 0.7559270436
MAT-64   5.7689875860 0.4558411587
MAT-65   6.4668489876 1.9384418600
MAT-66   0.9304818687 0.7784969850
MAT-67   0.6048132147 0.5582891212
MAT-68   7.0716622022 6.5438746386
MAT-69   0.9770059622 1.1165782425
MAT-70   0.8374336818 0.9116823173
MAT-71   6.5133730810 1.2131999273
MAT-72   0.7909095884 0.3721927475
MAT-73   0.7909095884 0.8628933867
MAT-74   3.3032106339 4.3583913759
MAT-75   0.8374336818 0.6310835077
MAT-76   2.0470601112 4.1025704279
MAT-77   0.9770059622 0.3481544357
MAT-78   0.8839577753 0.9934827724
MAT-79   4.8385057173 2.8130730675
MAT-400   5.4433189320 0.4744545206
MAT-401   5.5363671189 5.7989254497
MAT-402   0.4187168409 0.6172118466
MAT-403   6.3272767073 3.2017230759
MAT-404   0.7909095884 1.0021596426
MAT-405   0.7909095884 1.3354927205
MAT-406   0.7443854950 0.5425595016
MAT-407   5.7689875860 0.4558411587
MAT-408   0.8839577753 0.6172118466
MAT-409   1.0700541490 0.8111752869
MAT-410   1.0700541490 0.8111752869
MAT-411   1.0235300556 1.1988420260
MAT-412   1.2096264293 1.1546976324
MAT-413   1.2096264293 1.1546976324
MAT-414   5.2572225582 0.9579897173
MAT-415   5.4433189320 3.5626642850
MAT-416   0.7443854950 0.9021356425
MAT-417   6.6529453613 3.1361518348
MAT-418   4.9780779976 2.9512561513
MAT-419   6.2342285204 1.9826033760
MAT-420   5.1176502779 1.8375544567
MAT-421   0.8839577753 0.8004307690
MAT-422   0.4652409344 0.5096459088
MAT-423   5.3037466517 0.4558411587
MAT-424   0.8374336818 0.7559270436
MAT-425   0.9304818687 0.6579500391
MAT-426   3.7684515683 4.5716876209
MAT-427   2.4657769521 4.8043870476
MAT-428   0.9304818687 1.4111456227
MAT-429   0.8374336818 1.5735876248
MAT-430   0.9304818687 0.8322482841
MAT-431   5.0711261845 2.6547285314
MAT-432   5.3967948385 2.6383714531
MAT-433   0.7909095884 1.1988420260
MAT-434   0.6048132147 0.4744545206
MAT-435   0.6048132147 1.0021596426
MAT-436   4.7919816239 2.8007349683
MAT-437   5.0246020911 3.3367863421
MAT-438   0.6048132147 0.8628933867
MAT-439   0.6513373081 0.3481544357
MAT-440   0.8839577753 0.6172118466
MAT-441   1.0700541490 0.8111752869
MAT-442   4.0941202223 3.5382788903
MAT-443   1.0235300556 1.1988420260
MAT-444   1.2096264293 1.1546976324
MAT-445   5.2572225582 0.4744545206
MAT-446   5.3967948385 0.5425595016
MAT-447   3.6288792880 3.6585808743
MAT-448   0.8374336818 0.6310835077
MAT-449   0.7443854950 0.9021356425
MAT-450   3.9545479420 4.2741439282
MAT-451   1.0700541490 1.5735876248
MAT-452   0.7909095884 0.8628933867
MAT-453   5.5828912123 0.4161241421
MAT-454   0.8374336818 0.3721927475
MAT-455   4.9780779976 2.7382106857
MAT-456   0.8839577753 0.8004307690
MAT-457   0.4652409344 0.5096459088
MAT-458   0.9304818687 0.5884884053
MAT-459   5.8620357729 1.0771106353
MAT-460   1.0700541490 0.3721927475
MAT-461   1.5818191768 2.9188075714
MAT-462   1.9540119243 4.8492301613
MAT-463   1.0700541490 0.8628933867
MAT-464   1.9074878309 3.2286514145
MAT-465   0.5582891212 0.4744545206
MAT-466   0.5582891212 0.4744545206
MAT-467   6.6064212679 3.6467292692
MAT-468   3.6288792880 3.7635662437
MAT-469   5.2106984648 0.4744545206
MAT-470   3.3032106339 4.7573018319
MAT-471   4.9315539042 1.8469537735
MAT-472   2.6053492324 4.0707917121
MAT-473   0.6048132147 1.0021596426
MAT-474   1.0235300556 1.1988420260
MAT-475   6.6529453613 1.5458325789
MAT-476   0.6513373081 0.3481544357
MAT-477   0.9304818687 0.5096459088
MAT-478   7.4438549497 5.2057113540
MAT-479   0.9770059622 0.4558411587
MAT-480   0.8839577753 0.7443854950
MAT-481   0.8374336818 0.6310835077
MAT-482   0.9770059622 0.5425595016
MAT-483   5.5828912123 1.2825807441
MAT-484   0.7909095884 0.6963088715
MAT-485   4.4663129698 3.2686279857
MAT-486   1.0700541490 1.2690080791
MAT-487   4.9315539042 1.6488180722
MAT-488   6.2807526138 3.1416683770
MAT-489   3.4893070077 4.4527227663
MAT-490   1.1165782425 1.2960112752
MAT-491   0.6513373081 0.8004307690
MAT-492   0.6513373081 0.8004307690
MAT-493   0.8374336818 0.7559270436
MAT-494   0.7443854950 0.8004307690
MAT-495   9.2117705003 7.2110844033
MAT-496   4.1871684092 5.2140205553
MAT-497   1.2096264293 0.6837617380
MAT-498   6.0946562401 3.3984886960
MAT-499   3.9080238486 4.3683126075
MAT-500   0.8374336818 1.5735876248
MAT-501   5.0246020911 0.3721927475
MAT-502   0.8374336818 0.6310835077
MAT-503   0.9770059622 0.5425595016
MAT-504   5.7689875860 1.3611776251
MAT-505   0.8839577753 0.8004307690
MAT-506   1.7213914571 2.7852354859
MAT-507   0.6048132147 0.4744545206
MAT-508   5.3037466517 1.2621670154
MAT-509   7.0251381088 5.1083369849
MAT-510   0.6048132147 0.8628933867
MAT-511   5.3037466517 3.4740758946
MAT-512   6.7925176416 2.9775419799
MAT-513   0.9304818687 1.2131999273
