MAT-0   
MAT-240   0.6978614015 0.7784969850
MAT-241   0.9770059622 0.8004307690
MAT-242   1.3491987096 2.4156714313
MAT-243   7.8625717906 4.4371401366
MAT-244   0.8839577753 0.8528007192
MAT-245   0.7443854950 0.7443854950
MAT-246   5.5363671189 2.3428934805
MAT-247   0.6978614015 0.7784969850
MAT-248   0.6513373081 0.6837617380
MAT-249   1.0700541490 1.1243055197
MAT-250   0.6513373081 0.8004307690
MAT-251   3.0705901668 6.0973192514
MAT-252   0.7909095884 0.4744545206
MAT-253   7.7229995103 5.7010526143
MAT-254   0.9304818687 1.0609125602
MAT-255   0.9304818687 1.0609125602
MAT-256   5.0246020911 1.6276785047
MAT-257   0.6513373081 0.5425595016
MAT-258   4.9315539042 2.7665214857
MAT-259   0.8374336818 0.4744545206
MAT-260   0.6513373081 0.8004307690
MAT-261   9.6304873412 8.6919159734
MAT-262   1.0235300556 1.1243055197
MAT-263   3.0240660733 6.1015776521
MAT-264   0.6978614015 0.7207481563
MAT-265   0.6048132147 0.5582891212
MAT-266   0.9304818687 1.2825807441
MAT-267   5.9550839598 12.3953317144
MAT-268   0.8374336818 0.4744545206
MAT-269   1.0235300556 0.9579897173
MAT-270   8.0951922578 4.9795995812
MAT-271   14.0968003110 12.8817141222
MAT-272   9.7235355281 7.9140204314
MAT-273   0.8839577753 0.6172118466
MAT-274   0.8839577753 0.6172118466
MAT-275   1.1631023359 0.5884884053
MAT-276   5.6759393992 1.8516355397
MAT-277   0.5117650278 0.5425595016
MAT-278   5.5828912123 0.8827326080
MAT-279   0.9304818687 0.6579500391
MAT-280   1.0235300556 0.8628933867
MAT-281   7.2112344825 3.6633107804
MAT-282   0.7909095884 0.5582891212
MAT-283   0.8374336818 0.8111752869
MAT-284   9.7235355281 0.8004307690
MAT-285   0.6978614015 0.8827326080
MAT-286   9.8165837149 8.7554339024
MAT-287   0.4652409344 0.7784969850
MAT-288   0.6978614015 0.8322482841
MAT-289   12.6080293211 9.2366437573
MAT-290   0.5117650278 0.7443854950
MAT-291   0.6978614015 0.5884884053
MAT-292   0.8374336818 0.8628933867
MAT-293   8.4673850053 13.4730433039
MAT-294   5.5363671189 8.5097132695
MAT-295   5.3967948385 0.7443854950
MAT-296   1.5818191768 2.6871440000
MAT-297   0.8839577753 1.2621670154
MAT-298   0.7909095884 0.5582891212
MAT-299   0.6513373081 0.7443854950
MAT-300   0.6513373081 0.7443854950
MAT-301   1.4887709899 1.1988420260
MAT-302   1.5818191768 1.1165782425
MAT-303   3.2101624471 4.4759949950
MAT-304   1.0235300556 0.3721927475
MAT-305   5.0246020911 1.3026746162
MAT-306   1.7213914571 3.2844823778
MAT-307   1.0235300556 0.4744545206
MAT-308   0.5582891212 0.4744545206
MAT-309   0.8839577753 0.9489090411
MAT-310   0.7909095884 0.9579897173
MAT-311   0.6978614015 1.0609125602
MAT-312   3.9080238486 4.5336529532
MAT-313   5.3967948385 1.2273898826
MAT-314   0.6978614015 0.6579500391
MAT-315   0.7443854950 0.9021356425
MAT-316   0.6978614015 0.8827326080
MAT-317   1.3957228031 2.2408970852
MAT-318   2.8844937930 4.3003968899
MAT-319   12.4684570408 11.6796788398
MAT-320   7.5369031366 10.7009460399
MAT-321   5.6759393992 0.6310835077
MAT-322   2.3727287652 5.5549066190
MAT-323   0.6978614015 0.8322482841
MAT-324   0.6978614015 0.8322482841
MAT-325   0.5117650278 0.5425595016
MAT-326   1.7679155506 4.0622754021
MAT-327   0.7909095884 0.9579897173
MAT-328   3.6288792880 4.1257192521
MAT-329   0.8374336818 1.1243055197
MAT-330   0.7909095884 1.1243055197
MAT-331   1.2561505228 0.3721927475
MAT-332   0.5117650278 0.3481544357
MAT-333   2.6518733258 4.4682510532
MAT-334   0.6513373081 0.6837617380
MAT-335   0.8374336818 1.3988209707
MAT-336   0.7909095884 0.8111752869
MAT-337   0.9304818687 0.5096459088
MAT-338   3.1636383536 3.8432393143
MAT-339   6.2807526138 6.7419816575
MAT-340   0.6978614015 0.7784969850
MAT-341   9.7700596215 4.8971995336
MAT-342   9.7700596215 4.8971995336
MAT-343   1.0700541490 0.9579897173
MAT-344   0.7443854950 1.4829440753
MAT-345   0.9304818687 0.2942442027
MAT-346   5.2106984648 2.3280648917
MAT-347   0.5582891212 0.2279205793
MAT-348   0.9304818687 0.8827326080
MAT-349   5.8155116795 8.1596416261
MAT-350   0.8839577753 0.8528007192
MAT-351   2.3262046718 2.8528033888
MAT-352   0.6978614015 0.4161241421
MAT-353   7.3973308563 8.2093605222
MAT-354   1.4887709899 3.8880338257
MAT-355   1.1631023359 0.6579500391
MAT-356   9.8165837149 0.7443854950
MAT-357   0.7443854950 0.6837617380
MAT-358   0.4652409344 0.2942442027
MAT-359   5.6294153057 0.9021356425
MAT-360   5.5363671189 2.4156714313
MAT-361   0.8839577753 0.6837617380
MAT-362   0.8839577753 0.6837617380
MAT-363   8.3743368184 8.9151623336
MAT-364   0.7909095884 0.7559270436
MAT-365   0.7909095884 0.7559270436
MAT-366   4.7919816239 3.4390086216
MAT-367   0.9770059622 0.6172118466
MAT-368   6.6064212679 7.8657369942
MAT-369   0.7443854950 0.8004307690
MAT-370   0.7909095884 0.4744545206
MAT-371   0.6048132147 0.4744545206
MAT-372   0.8374336818 0.6963088715
MAT-373   0.7909095884 0.9116823173
MAT-374   5.7224634926 0.8111752869
MAT-375   3.5358311011 8.5401813701
MAT-376   0.7909095884 0.9579897173
MAT-377   0.6978614015 1.0192918177
MAT-378   8.5139090987 4.2293446130
MAT-379   5.9085598663 7.7660404807
MAT-380   0.7909095884 0.6310835077
MAT-381   0.7909095884 0.4744545206
MAT-382   3.3032106339 8.3401493664
MAT-383   0.8839577753 0.5425595016
MAT-384   0.8839577753 0.5425595016
MAT-385   6.8390417351 4.2599407047
MAT-386   0.7909095884 0.8111752869
MAT-387   0.8374336818 0.4744545206
MAT-388   2.4192528587 4.4390909567
MAT-389   5.0711261845 0.8004307690
MAT-390   0.5582891212 0.4744545206
MAT-391   7.9090958841 4.0665357865
MAT-392   0.8374336818 1.0444633072
MAT-393   0.9770059622 1.0771106353
MAT-394   0.9770059622 1.0771106353
MAT-395   5.6759393992 0.6310835077
MAT-396   0.5117650278 0.8004307690
MAT-397   0.6513373081 0.6172118466
MAT-398   0.6513373081 0.6172118466
MAT-399   0.7909095884 0.4744545206
MAT-40   5.1176502779 2.4793457215
MAT-41   1.0235300556 0.9579897173
MAT-42   0.5117650278 0.3481544357
MAT-43   0.6978614015 0.6579500391
MAT-44   0.9770059622 0.8528007192
MAT-45   1.2561505228 0.6963088715
MAT-46   0.7909095884 0.6963088715
MAT-47   5.5828912123 0.8322482841
MAT-48   3.8614997552 5.0159791190
MAT-49   0.8374336818 0.6310835077
MAT-50   0.8839577753 0.4558411587
MAT-51   1.3957228031 1.4712210133
