MAT-0   
MAT-235   126.9456200762 190.4821661903
MAT-236   182.9805594452 409.2213373443
MAT-237   220.3371856912 384.6100071438
MAT-238   220.3371856912 384.6100071438
MAT-239   182.9805594452 334.1278227843
MAT-240   182.9805594452 312.5479590619
MAT-241   295.0504381831 321.3538498473
MAT-242   444.4769431671 969.8344247866
MAT-243   3059.4407803863 1781.4058635452
MAT-244   257.6938119372 342.3791349608
MAT-245   201.6588725682 298.8530099679
MAT-246   2125.5251242366 940.6158145183
MAT-247   182.9805594452 312.5479590619
MAT-248   164.3022463222 274.5140184436
MAT-249   332.4070644291 451.3818323487
MAT-250   164.3022463222 321.3538498473
MAT-251   1135.5745287179 2447.9281546090
MAT-252   220.3371856912 190.4821661903
MAT-253   3003.4058410173 2288.8365574910
MAT-254   276.3721250601 425.9310721029
MAT-255   276.3721250601 425.9310721029
MAT-256   1920.0636798836 653.4740717822
MAT-257   164.3022463222 217.8246905941
MAT-258   1882.7070536376 1110.6923478815
MAT-259   239.0154988142 190.4821661903
MAT-260   164.3022463222 321.3538498473
MAT-261   3769.2166790600 3489.5968131912
MAT-262   313.7287513061 451.3818323487
MAT-263   1116.8962155949 2449.6378008339
MAT-264   182.9805594452 289.3631826424
MAT-265   145.6239331992 224.1397574759
MAT-266   276.3721250601 514.9255573883
MAT-267   2293.6299423435 4976.4298437199
MAT-268   239.0154988142 190.4821661903
MAT-269   313.7287513061 384.6100071438
MAT-270   3152.8323460012 1999.1903836598
MAT-271   5562.3347388675 5171.7007719154
MAT-272   3806.5733053060 3177.2903191408
MAT-273   257.6938119372 247.7958253830
MAT-274   257.6938119372 247.7958253830
MAT-275   369.7636906751 236.2640492739
MAT-276   2181.5600636055 743.3874761489
MAT-277   108.2673069532 217.8246905941
MAT-278   2144.2034373596 354.3960739109
MAT-279   276.3721250601 264.1512374079
MAT-280   313.7287513061 346.4311000841
MAT-281   2797.9443966643 1470.7318460371
MAT-282   220.3371856912 224.1397574759
MAT-283   239.0154988142 325.6675173558
MAT-284   3806.5733053060 321.3538498473
MAT-285   182.9805594452 354.3960739108
MAT-286   3843.9299315520 3515.0977456918
MAT-287   89.5889938302 312.5479590619
MAT-288   182.9805594452 334.1278227843
MAT-289   4964.6287189317 3708.2920173916
MAT-290   108.2673069532 298.8530099679
MAT-291   182.9805594452 236.2640492739
MAT-292   239.0154988142 346.4311000841
MAT-293   3302.2588509852 5409.1053251253
MAT-294   2125.5251242366 3416.4467762240
MAT-295   2069.4901848676 298.8530099679
MAT-296   537.8685087821 1078.8241818843
MAT-297   257.6938119372 506.7299325131
MAT-298   220.3371856912 224.1397574759
MAT-299   164.3022463222 298.8530099679
MAT-300   164.3022463222 298.8530099679
MAT-301   500.5118825361 481.3064606507
MAT-302   537.8685087821 448.2795149519
MAT-303   1191.6094680869 1797.0051618324
MAT-304   313.7287513061 149.4265049840
MAT-305   1920.0636798836 522.9927674438
MAT-306   593.9034481510 1318.6412838620
MAT-307   313.7287513061 190.4821661903
MAT-308   126.9456200762 190.4821661903
MAT-309   257.6938119372 380.9643323806
MAT-310   220.3371856912 384.6100071438
MAT-311   182.9805594452 425.9310721029
MAT-312   1471.7841649318 1820.1534559265
MAT-313   2069.4901848676 492.7677437292
MAT-314   182.9805594452 264.1512374079
MAT-315   201.6588725682 362.1859291874
MAT-316   182.9805594452 354.3960739108
MAT-317   463.1552562901 899.6666961713
MAT-318   1060.8612762259 1726.5067136546
MAT-319   4908.5937795627 4689.1122950667
MAT-320   2928.6925885253 4296.1744353325
MAT-321   2181.5600636055 253.3649662566
MAT-322   855.3998318730 2230.1624284467
