MAT-0   
MAT-286   709.55643 1875.651495
MAT-287   3.22939 0.002286
MAT-288   -4.44792 71.747359
MAT-289   6687.29018 26860.300337
MAT-290   3.28322 0.082022
MAT-291   3.23019 0.001296
MAT-292   -59.74112 291.466242
MAT-293   97.63654 737.942944
MAT-294   3.13951 0.258298
MAT-295   108.89385 474.762336
MAT-296   3.79939 1.799311
MAT-297   3.38660 0.221689
MAT-298   -nan nan
MAT-299   -nan nan
MAT-300   3.23062 0.001803
MAT-301   -1548.62936 7355.974269
MAT-302   3.23190 0.003942
MAT-303   3122.31190 12387.492949
MAT-304   3.24700 0.057826
MAT-305   -1462.18146 7149.410868
MAT-306   -11337.40527 45454.848243
MAT-307   3.23009 0.002096
MAT-308   3.24440 0.060947
MAT-309   45.99931 79.629357
MAT-310   3.23066 0.001857
MAT-311   3.23028 0.001111
MAT-312   -10.91609 1117.333402
MAT-313   -512.04129 1817.785167
MAT-314   3.23021 0.001719
MAT-315   1074.13379 8086.742550
MAT-316   -nan nan
MAT-317   232.88901 904.576998
MAT-318   -nan nan
MAT-319   629.85001 2375.814642
MAT-320   -1971.63141 11020.628501
MAT-321   -700.91098 2650.683930
MAT-322   -12449.95701 65063.254161
MAT-323   -139.81493 586.023566
MAT-324   3.22980 0.002323
MAT-325   3.22959 0.002330
MAT-326   -154.69942 2370.543114
MAT-327   3.23548 0.017759
MAT-328   3.64007 0.955704
MAT-329   -1275.56819 4411.778382
MAT-330   -nan nan
MAT-331   -5230.82597 12631.365460
MAT-332   3.23173 0.005420
MAT-333   3484.14463 8324.238985
MAT-334   3.18948 0.321273
MAT-335   -nan nan
MAT-336   474.62682 1988.769779
MAT-337   3.23045 0.001535
MAT-338   405.83321 1493.880315
MAT-339   7394.60956 42957.683509
MAT-340   3.22911 0.008521
MAT-341   3.22917 0.001824
MAT-342   3.25130 0.075126
MAT-343   -5955.25030 46429.634857
MAT-344   -nan nan
MAT-345   4684.80836 16202.295432
MAT-346   329.94533 27745.323798
MAT-347   3.22954 0.001704
MAT-348   3.23012 0.007965
MAT-349   -1421.96974 2813.438742
MAT-350   -nan nan
MAT-351   -10369.65763 27575.683596
MAT-352   3.23054 0.002922
MAT-353   3.24736 0.095505
MAT-354   85.54524 215.699202
MAT-355   3.23078 0.000431
MAT-356   3.23031 0.002936
MAT-357   3.27020 0.128082
MAT-358   3.22837 0.008535
MAT-359   14029.35040 58942.488013
MAT-360   -1149.32026 2860.462012
MAT-361   3.22784 0.003854
MAT-362   3.23058 0.001049
MAT-363   2315.16672 5318.638175
MAT-364   3.23422 0.015678
MAT-365   3.23422 0.015678
MAT-366   -3251.89637 14657.710370
MAT-367   3.33451 0.417772
MAT-368   -706.52482 14892.947018
MAT-369   -nan nan
MAT-370   -927.89646 2896.272429
MAT-371   -nan nan
MAT-372   28.28264 98.535878
MAT-373   3.23027 0.002250
MAT-374   -1298.88447 4829.399435
MAT-375   1090.59004 8234.424166
MAT-376   -385.90611 1143.708157
MAT-377   3.23293 0.008012
MAT-378   -1727.57707 5375.144211
MAT-379   1204.09898 1958.317383
MAT-380   -nan nan
MAT-381   3.24675 0.248299
MAT-382   -nan nan
MAT-383   3.23028 0.001709
MAT-384   -nan nan
MAT-385   494.44490 2126.875999
MAT-386   411.83203 1634.739155
MAT-387   3.22831 0.006668
MAT-388   -2215.68309 11692.742689
MAT-389   1474.43277 6946.747715
MAT-390   3.23141 0.008791
MAT-391   -nan nan
MAT-392   -2294.56736 11289.250573
MAT-393   3.22999 0.002158
MAT-394   3.21546 0.024425
MAT-395   3410.31241 20821.598847
MAT-396   -nan nan
MAT-397   -nan nan
MAT-398   3.23142 0.005920
MAT-399   -991.56206 28024.681232
MAT-40   4.66352 5.176279
MAT-41   222.37298 2931.625488
MAT-42   3.23456 0.018336
MAT-43   3.76359 1.643470
MAT-44   3.22987 0.004504
