MAT-0   
MAT-240   0.4547864472 0.7784969850
MAT-241   5.2002439777 0.4744545206
MAT-242   4.8745753236 0.6579500391
MAT-243   5.2467680711 0.7559270436
MAT-244   0.6408828210 0.8528007192
MAT-245   0.6408828210 0.8528007192
MAT-246   3.9440934549 3.7335403813
MAT-247   1.1526478487 3.9695713176
MAT-248   0.7339310078 1.9159794346
MAT-249   2.8740393059 4.0729180072
MAT-250   0.7339310078 0.1860963737
MAT-251   3.1066597731 4.1257192521
MAT-252   0.5943587275 0.4744545206
MAT-253   4.4558584827 1.8469537735
MAT-254   0.5013105406 0.6837617380
MAT-255   0.4547864472 0.7784969850
MAT-256   5.0141476039 2.0512852139
MAT-257   0.5943587275 0.7559270436
MAT-258   4.0836657352 3.8657014536
MAT-259   0.5013105406 1.0771106353
MAT-260   0.6874069144 0.9758976170
MAT-261   4.6419548564 4.0665357865
MAT-262   3.2927561468 4.3979420175
MAT-263   1.9435574372 3.0804431058
MAT-264   0.4547864472 0.7207481563
MAT-265   0.4547864472 0.7207481563
MAT-266   3.1997079599 4.7115838595
MAT-267   3.9440934549 3.7796352181
MAT-268   4.9676235105 0.5582891212
MAT-269   5.6654849120 0.7559270436
MAT-270   3.4323284271 4.7023869274
MAT-271   5.5259126317 2.4156714313
MAT-272   5.6189608186 1.9384418600
MAT-273   0.3617382603 0.5582891212
MAT-274   0.6408828210 0.6172118466
MAT-275   0.9665514750 1.2960112752
MAT-276   4.0836657352 4.4682510532
MAT-277   5.3863403514 0.4558411587
MAT-278   4.4558584827 3.8296987931
MAT-279   0.3152141669 0.4744545206
MAT-280   0.0825936997 0.6310835077
MAT-281   6.1307258464 2.0930672064
MAT-282   0.7804551013 1.2690080791
MAT-283   0.2221659800 0.5096459088
MAT-284   3.2927561468 5.0998555961
MAT-285   5.3863403514 1.2621670154
MAT-286   5.4793885383 0.4744545206
MAT-287   0.5943587275 0.6963088715
MAT-288   2.6879429321 4.3801884226
MAT-289   5.1537198842 0.4558411587
MAT-290   1.1061237553 0.5425595016
MAT-291   0.4082623538 0.6172118466
MAT-292   2.0831297175 3.1963101843
MAT-293   2.6879429321 4.6393643087
MAT-294   0.3152141669 0.4744545206
MAT-295   2.5483706518 4.4332359211
MAT-296   0.7339310078 1.1915982012
MAT-297   0.5013105406 0.4558411587
MAT-298   0.6408828210 1.2621670154
MAT-299   0.6408828210 1.2273898826
MAT-300   0.4547864472 0.6579500391
MAT-301   3.3392802402 4.8043870476
MAT-302   1.1991719422 0.8528007192
MAT-303   3.6184248008 4.7682089195
MAT-304   0.6408828210 0.8004307690
MAT-305   4.1767139221 4.5298319218
MAT-306   1.9435574372 3.5013823775
MAT-307   0.7804551013 0.4744545206
MAT-308   0.5943587275 0.8628933867
MAT-309   5.5724367251 1.2825807441
MAT-310   0.5013105406 0.4558411587
MAT-311   0.6408828210 0.9021356425
MAT-312   4.7815271367 5.5095213559
MAT-313   4.8280512302 4.1549948700
MAT-314   0.4547864472 0.6579500391
MAT-315   4.9676235105 0.4744545206
MAT-316   0.4547864472 0.8827326080
MAT-317   1.7574610634 2.8467271234
MAT-318   5.0141476039 0.8111752869
MAT-319   4.1767139221 3.3933896853
MAT-320   4.9210994170 2.5209018959
MAT-321   5.2932921645 4.9534506192
MAT-322   5.2467680711 0.8628933867
MAT-323   2.1296538109 4.6561297835
MAT-324   0.4082623538 0.6172118466
MAT-325   0.2686900735 0.5425595016
MAT-326   2.5948947453 4.9007341422
MAT-327   0.6408828210 0.9489090411
MAT-328   0.8735032881 0.7443854950
MAT-329   4.7815271367 4.0516048415
MAT-330   5.3398162580 1.1009609944
MAT-331   3.5719007074 3.8319588693
MAT-332   0.5943587275 0.9116823173
MAT-333   5.1537198842 1.0361407578
MAT-334   0.8735032881 0.4558411587
MAT-335   0.5943587275 1.0444633072
MAT-336   4.0836657352 3.4263976197
MAT-337   0.4547864472 0.4161241421
MAT-338   4.6419548564 3.3028829832
MAT-339   7.1542559020 4.6000072452
MAT-340   0.4547864472 0.7784969850
MAT-341   0.5478346341 0.5582891212
MAT-342   1.1526478487 1.7654652160
MAT-343   5.1537198842 0.7443854950
MAT-344   0.1756418866 0.6172118466
MAT-345   4.9676235105 0.6310835077
MAT-346   4.7350030433 4.5830364699
MAT-347   0.5478346341 0.3721927475
MAT-348   0.6874069144 0.8827326080
MAT-349   7.1542559020 3.6562136266
MAT-350   1.4317924094 3.0064789278
MAT-351   4.1767139221 3.5309304320
MAT-352   0.7339310078 0.8004307690
MAT-353   0.4547864472 0.5884884053
MAT-354   3.7579970812 3.8969309399
MAT-355   0.9200273816 0.6579500391
MAT-356   0.9200273816 0.6579500391
MAT-357   0.6874069144 0.2942442027
MAT-358   0.5013105406 0.7443854950
MAT-359   5.0606716974 1.1915982012
MAT-360   2.9205633993 4.4097380387
MAT-361   0.7339310078 0.3481544357
MAT-362   0.4082623538 0.7443854950
MAT-363   5.5724367251 1.4111456227
MAT-364   0.8269791947 0.6310835077
MAT-365   0.8269791947 0.6310835077
MAT-366   5.4328644448 0.8628933867
MAT-367   0.7339310078 0.6172118466
MAT-368   5.7120090055 2.2524581099
MAT-369   0.3617382603 0.9116823173
MAT-370   4.7815271367 3.7056082655
MAT-371   0.5478346341 1.0021596426
MAT-372   0.8269791947 0.7559270436
MAT-373   0.5478346341 0.9116823173
MAT-374   5.3863403514 1.4534591427
MAT-375   5.3863403514 0.3481544357
MAT-376   4.2697621089 3.8432393143
MAT-377   0.4547864472 1.0192918177
MAT-378   5.7585330989 1.1546976324
MAT-379   5.5259126317 0.7443854950
MAT-380   0.6874069144 1.1009609944
MAT-381   0.5943587275 0.2279205793
MAT-382   0.3152141669 1.1988420260
MAT-383   0.4082623538 0.8004307690
MAT-384   4.0371416418 2.6903640659
MAT-385   5.0606716974 0.6172118466
MAT-386   1.2456960356 2.5752672194
MAT-387   0.5943587275 0.4744545206
MAT-388   3.9440934549 4.3940029732
MAT-389   5.2467680711 1.8281068133
MAT-390   0.5478346341 0.6310835077
MAT-391   5.2002439777 6.2736838663
MAT-392   4.3162862024 2.8919879438
MAT-393   0.5478346341 1.0444633072
MAT-394   1.0130755684 1.1988420260
MAT-395   3.6649488943 3.5112593573
MAT-396   0.2686900735 0.8004307690
MAT-397   0.2686900735 0.8004307690
MAT-398   0.4082623538 0.6172118466
MAT-399   4.5489066696 2.7696492668
MAT-40   0.6874069144 0.9758976170
MAT-41   5.3863403514 0.8004307690
MAT-42   0.6408828210 0.7443854950
MAT-43   0.5943587275 0.6310835077
MAT-44   0.5013105406 1.0361407578
MAT-45   0.8735032881 0.9934827724
MAT-46   3.8510452680 4.6672733091
MAT-47   3.8510452680 4.6672733091
MAT-48   5.2932921645 2.0680993084
MAT-49   0.5943587275 0.6310835077
MAT-50   0.3617382603 0.5582891212
MAT-51   6.5029185939 3.2500334456
MAT-52   0.7804551013 1.1988420260
MAT-53   3.6649488943 4.2477287139
MAT-54   0.9665514750 0.5425595016
MAT-55   0.5013105406 0.9021356425
MAT-56   0.8735032881 0.6837617380
MAT-57   6.4098704070 2.8314794126
MAT-58   7.1077318085 3.3626332531
MAT-59   0.5013105406 0.5425595016
MAT-60   4.6419548564 2.8979693110
MAT-61   4.8745753236 0.2942442027
MAT-62   0.7804551013 0.9579897173
MAT-63   0.5478346341 0.7559270436
MAT-64   5.5259126317 0.4558411587
MAT-65   6.2237740332 1.9384418600
MAT-66   0.6874069144 0.7784969850
MAT-67   0.3617382603 0.5582891212
MAT-68   6.8285872479 6.5438746386
MAT-69   0.7339310078 1.1165782425
MAT-70   0.5943587275 0.9116823173
MAT-71   6.2702981267 1.2131999273
MAT-72   0.5478346341 0.3721927475
MAT-73   0.5478346341 0.8628933867
MAT-74   3.0601356796 4.3583913759
