MAT-0   
MAT-286   -2.12900 11.615550
MAT-287   -0.00073 0.002522
MAT-288   0.02937 0.104376
MAT-289   0.15153 0.332773
MAT-290   0.00603 0.021205
MAT-291   0.00019 0.001296
MAT-292   0.11176 0.437587
MAT-293   0.04901 0.103673
MAT-294   -0.00302 0.009074
MAT-295   0.02039 0.034360
MAT-296   0.04401 0.167225
MAT-297   -0.00243 0.011384
MAT-298   -nan nan
MAT-299   -nan nan
MAT-300   0.00062 0.001803
MAT-301   0.04673 0.155334
MAT-302   0.00190 0.003942
MAT-303   0.08803 0.339518
MAT-304   0.01700 0.057826
MAT-305   0.55711 1.566390
MAT-306   0.08005 0.317252
MAT-307   0.00009 0.002096
MAT-308   0.01439 0.060947
MAT-309   0.32228 0.729239
MAT-310   0.00065 0.001857
MAT-311   0.00028 0.001111
MAT-312   0.09298 0.253059
MAT-313   0.02712 0.094324
MAT-314   0.00021 0.001719
MAT-315   0.30114 0.605929
MAT-316   -nan nan
MAT-317   0.12811 0.396381
MAT-318   -nan nan
MAT-319   0.10042 0.855174
MAT-320   0.23930 0.620512
MAT-321   0.17062 1.156746
MAT-322   0.04960 0.060924
MAT-323   0.09660 0.385680
MAT-324   -0.00020 0.002323
MAT-325   -0.00042 0.002330
MAT-326   0.20234 0.545375
MAT-327   0.00548 0.017759
MAT-328   0.04202 0.171766
MAT-329   0.20841 0.423646
MAT-330   -nan nan
MAT-331   0.13308 0.414551
MAT-332   0.00172 0.005420
MAT-333   0.78439 1.992207
MAT-334   0.01520 0.058434
MAT-335   -nan nan
MAT-336   0.09432 0.285715
MAT-337   0.00045 0.001535
MAT-338   0.10415 0.269341
MAT-339   3.97351 14.420306
MAT-340   -0.00089 0.008521
MAT-341   -0.00083 0.001824
MAT-342   0.02130 0.075126
MAT-343   0.03598 0.074465
MAT-344   -nan nan
MAT-345   0.23381 0.834352
MAT-346   0.00094 1.171377
MAT-347   -0.00046 0.001704
MAT-348   0.00011 0.007965
MAT-349   0.38943 1.114865
MAT-350   -nan nan
MAT-351   0.36447 0.812011
MAT-352   0.00054 0.002922
MAT-353   -0.00052 0.000772
MAT-354   -0.23959 0.794720
MAT-355   0.00078 0.000431
MAT-356   0.00078 0.000431
MAT-357   0.04020 0.128082
MAT-358   -0.00163 0.008535
MAT-359   0.13130 2.853441
MAT-360   0.05716 0.135021
MAT-361   -0.00217 0.003854
MAT-362   0.00057 0.001049
MAT-363   0.48488 0.814307
MAT-364   0.00422 0.015678
MAT-365   0.00422 0.015678
MAT-366   0.37973 0.895829
MAT-367   0.10451 0.417772
