MAT-0   
MAT-240   12.5000000000 13.9443337756
MAT-241   17.5000000000 14.3372087784
MAT-242   24.1666666667 43.2691832858
MAT-243   140.8333333333 79.4774601171
MAT-244   15.8333333333 15.2752523165
MAT-245   13.3333333333 13.3333333333
MAT-246   99.1666666667 41.9655943734
MAT-247   12.5000000000 13.9443337756
MAT-248   11.6666666667 12.2474487139
MAT-249   19.1666666667 20.1384099560
MAT-250   11.6666666667 14.3372087784
MAT-251   55.0000000000 109.2143661694
MAT-252   14.1666666667 8.4983658560
MAT-253   138.3333333333 102.1164912136
MAT-254   16.6666666667 19.0029237517
MAT-255   16.6666666667 19.0029237517
MAT-256   90.0000000000 29.1547594742
MAT-257   11.6666666667 9.7182531581
MAT-258   88.3333333333 49.5535624911
MAT-259   15.0000000000 8.4983658560
MAT-260   11.6666666667 14.3372087784
MAT-261   172.5000000000 155.6884353088
MAT-262   18.3333333333 20.1384099560
MAT-263   54.1666666667 109.2906420717
MAT-264   12.5000000000 12.9099444874
MAT-265   10.8333333333 10.0000000000
MAT-266   16.6666666667 22.9734145868
MAT-267   106.6666666667 222.0235222774
MAT-268   15.0000000000 8.4983658560
MAT-269   18.3333333333 17.1593835683
MAT-270   145.0000000000 89.1939210684
MAT-271   252.5000000000 230.7355388511
MAT-272   174.1666666667 141.7548744998
MAT-273   15.8333333333 11.0554159679
MAT-274   15.8333333333 11.0554159679
MAT-275   20.8333333333 10.5409255339
MAT-276   101.6666666667 33.1662479036
MAT-277   9.1666666667 9.7182531581
MAT-278   100.0000000000 15.8113883008
MAT-279   16.6666666667 11.7851130198
MAT-280   18.3333333333 15.4560308258
MAT-281   129.1666666667 65.6167322834
MAT-282   14.1666666667 10.0000000000
MAT-283   15.0000000000 14.5296631451
MAT-284   174.1666666667 14.3372087784
MAT-285   12.5000000000 15.8113883008
MAT-286   175.8333333333 156.8261599493
MAT-287   8.3333333333 13.9443337756
MAT-288   12.5000000000 14.9071198500
MAT-289   225.8333333333 165.4455264497
MAT-290   9.1666666667 13.3333333333
MAT-291   12.5000000000 10.5409255339
MAT-292   15.0000000000 15.4560308258
MAT-293   151.6666666667 241.3273479921
MAT-294   99.1666666667 152.4248448690
MAT-295   96.6666666667 13.3333333333
MAT-296   28.3333333333 48.1317635940
MAT-297   15.8333333333 22.6077666104
MAT-298   14.1666666667 10.0000000000
MAT-299   11.6666666667 13.3333333333
MAT-300   11.6666666667 13.3333333333
MAT-301   26.6666666667 21.4734978779
MAT-302   28.3333333333 20.0000000000
MAT-303   57.5000000000 80.1734231387
MAT-304   18.3333333333 6.6666666667
MAT-305   90.0000000000 23.3333333333
MAT-306   30.8333333333 58.8312086491
MAT-307   18.3333333333 8.4983658560
MAT-308   10.0000000000 8.4983658560
MAT-309   15.8333333333 16.9967317120
MAT-310   14.1666666667 17.1593835683
MAT-311   12.5000000000 19.0029237517
MAT-312   70.0000000000 81.2061847672
MAT-313   96.6666666667 21.9848432638
MAT-314   12.5000000000 11.7851130198
MAT-315   13.3333333333 16.1589328581
MAT-316   12.5000000000 15.8113883008
MAT-317   25.0000000000 40.1386485960
MAT-318   51.6666666667 77.0281333886
MAT-319   223.3333333333 209.2048437935
MAT-320   135.0000000000 191.6739129065
MAT-321   101.6666666667 11.3038833052
MAT-322   42.5000000000 99.4987437107
MAT-323   12.5000000000 14.9071198500
MAT-324   12.5000000000 14.9071198500
MAT-325   9.1666666667 9.7182531581
MAT-326   31.6666666667 72.7629331765
MAT-327   14.1666666667 17.1593835683
MAT-328   65.0000000000 73.8993309247
MAT-329   15.0000000000 20.1384099560
MAT-330   14.1666666667 20.1384099560
MAT-331   22.5000000000 6.6666666667
MAT-332   9.1666666667 6.2360956446
MAT-333   47.5000000000 80.0347146903
MAT-334   11.6666666667 12.2474487139
MAT-335   15.0000000000 25.0554939640
MAT-336   14.1666666667 14.5296631451
MAT-337   16.6666666667 9.1287092918
MAT-338   56.6666666667 68.8395880935
MAT-339   112.5000000000 120.7614728849
MAT-340   12.5000000000 13.9443337756
MAT-341   175.0000000000 87.7179824463
MAT-342   175.0000000000 87.7179824463
MAT-343   19.1666666667 17.1593835683
MAT-344   13.3333333333 26.5622957508
MAT-345   16.6666666667 5.2704627669
MAT-346   93.3333333333 41.6999866773
MAT-347   10.0000000000 4.0824829046
MAT-348   16.6666666667 15.8113883008
MAT-349   104.1666666667 146.1544084560
MAT-350   15.8333333333 15.2752523165
MAT-351   41.6666666667 51.0990323892
MAT-352   12.5000000000 7.4535599250
MAT-353   132.5000000000 147.0449666674
MAT-354   26.6666666667 69.6419413859
MAT-355   20.8333333333 11.7851130198
MAT-356   175.8333333333 13.3333333333
MAT-357   13.3333333333 12.2474487139
MAT-358   8.3333333333 5.2704627669
MAT-359   100.8333333333 16.1589328581
MAT-360   99.1666666667 43.2691832858
MAT-361   15.8333333333 12.2474487139
MAT-362   15.8333333333 12.2474487139
MAT-363   150.0000000000 159.6871942267
MAT-364   14.1666666667 13.5400640077
MAT-365   14.1666666667 13.5400640077
MAT-366   85.8333333333 61.5990620419
MAT-367   17.5000000000 11.0554159679
MAT-368   118.3333333333 140.8900280361
MAT-369   13.3333333333 14.3372087784
MAT-370   14.1666666667 8.4983658560
MAT-371   10.8333333333 8.4983658560
MAT-372   15.0000000000 12.4721912892
MAT-373   14.1666666667 16.3299316186
MAT-374   102.5000000000 14.5296631451
MAT-375   63.3333333333 152.9705854078
MAT-376   14.1666666667 17.1593835683
MAT-377   12.5000000000 18.2574185835
MAT-378   152.5000000000 75.7554545158
MAT-379   105.8333333333 139.1042774324
MAT-380   14.1666666667 11.3038833052
MAT-381   14.1666666667 8.4983658560
MAT-382   59.1666666667 149.3876389353
MAT-383   15.8333333333 9.7182531581
MAT-384   15.8333333333 9.7182531581
MAT-385   122.5000000000 76.3034876151
MAT-386   14.1666666667 14.5296631451
MAT-387   15.0000000000 8.4983658560
MAT-388   43.3333333333 79.5124029458
MAT-389   90.8333333333 14.3372087784
MAT-390   10.0000000000 8.4983658560
MAT-391   141.6666666667 72.8392446114
MAT-392   15.0000000000 18.7082869339
MAT-393   17.5000000000 19.2930615047
MAT-394   17.5000000000 19.2930615047
MAT-395   101.6666666667 11.3038833052
MAT-396   9.1666666667 14.3372087784
MAT-397   11.6666666667 11.0554159679
MAT-398   11.6666666667 11.0554159679
MAT-399   14.1666666667 8.4983658560
MAT-40   91.6666666667 44.4097086482
MAT-41   18.3333333333 17.1593835683
MAT-42   9.1666666667 6.2360956446
MAT-43   12.5000000000 11.7851130198
MAT-44   17.5000000000 15.2752523165
MAT-45   22.5000000000 12.4721912892
MAT-46   14.1666666667 12.4721912892
MAT-47   100.0000000000 14.9071198500
MAT-48   69.1666666667 89.8455464796
MAT-49   15.0000000000 11.3038833052
MAT-50   15.8333333333 8.1649658093
MAT-51   25.0000000000 26.3523138347
MAT-52   10.8333333333 16.3299316186
MAT-53   11.6666666667 14.3372087784
