MAT-0   
MAT-240   0.4557694578 0.7784969850
MAT-241   0.7349140184 0.8004307690
MAT-242   1.1071067659 2.4156714313
MAT-243   7.6204798469 4.4371401366
MAT-244   0.6418658315 0.8528007192
MAT-245   0.5022935512 0.7443854950
MAT-246   5.2942751751 2.3428934805
MAT-247   0.4557694578 0.7784969850
MAT-248   0.4092453644 0.6837617380
MAT-249   0.8279622053 1.1243055197
MAT-250   0.4092453644 0.8004307690
MAT-251   2.8284982230 6.0973192514
MAT-252   0.5488176447 0.4744545206
MAT-253   7.4809075666 5.7010526143
MAT-254   0.6883899250 1.0609125602
MAT-255   0.6883899250 1.0609125602
MAT-256   4.7825101473 1.6276785047
MAT-257   0.4092453644 0.5425595016
MAT-258   4.6894619604 2.7665214857
MAT-259   0.5953417381 0.4744545206
MAT-260   0.4092453644 0.8004307690
MAT-261   9.3883953975 8.6919159734
MAT-262   0.7814381118 1.1243055197
MAT-263   2.7819741296 6.1015776521
MAT-264   0.4557694578 0.7207481563
MAT-265   0.3627212709 0.5582891212
MAT-266   0.6883899250 1.2825807441
MAT-267   5.7129920160 12.3953317144
MAT-268   0.5953417381 0.4744545206
MAT-269   0.7814381118 0.9579897173
MAT-270   7.8531003141 4.9795995812
MAT-271   13.8547083673 12.8817141222
MAT-272   9.4814435843 7.9140204314
MAT-273   0.6418658315 0.6172118466
MAT-274   0.6418658315 0.6172118466
MAT-275   0.9210103922 0.5884884053
MAT-276   5.4338474554 1.8516355397
MAT-277   0.2696730841 0.5425595016
MAT-278   5.3407992685 0.8827326080
MAT-279   0.6883899250 0.6579500391
MAT-280   0.7814381118 0.8628933867
MAT-281   6.9691425388 3.6633107804
MAT-282   0.5488176447 0.5582891212
MAT-283   0.5953417381 0.8111752869
MAT-284   9.4814435843 0.8004307690
MAT-285   0.4557694578 0.8827326080
MAT-286   9.5744917712 8.7554339024
MAT-287   0.2231489906 0.7784969850
MAT-288   0.4557694578 0.8322482841
MAT-289   12.3659373774 9.2366437573
MAT-290   0.2696730841 0.7443854950
MAT-291   0.4557694578 0.5884884053
MAT-292   0.5953417381 0.8628933867
MAT-293   8.2252930616 13.4730433039
MAT-294   5.2942751751 8.5097132695
MAT-295   5.1547028948 0.7443854950
MAT-296   1.3397272331 2.6871440000
MAT-297   0.6418658315 1.2621670154
MAT-298   0.5488176447 0.5582891212
MAT-299   0.4092453644 0.7443854950
MAT-300   0.4092453644 0.7443854950
MAT-301   1.2466790462 1.1988420260
MAT-302   1.3397272331 1.1165782425
MAT-303   2.9680705033 4.4759949950
MAT-304   0.7814381118 0.3721927475
MAT-305   4.7825101473 1.3026746162
MAT-306   1.4792995134 3.2844823778
MAT-307   0.7814381118 0.4744545206
MAT-308   0.3161971775 0.4744545206
MAT-309   0.6418658315 0.9489090411
MAT-310   0.5488176447 0.9579897173
MAT-311   0.4557694578 1.0609125602
MAT-312   3.6659319049 4.5336529532
MAT-313   5.1547028948 1.2273898826
MAT-314   0.4557694578 0.6579500391
MAT-315   0.5022935512 0.9021356425
MAT-316   0.4557694578 0.8827326080
MAT-317   1.1536308593 2.2408970852
MAT-318   2.6424018493 4.3003968899
MAT-319   12.2263650970 11.6796788398
MAT-320   7.2948111929 10.7009460399
MAT-321   5.4338474554 0.6310835077
MAT-322   2.1306368215 5.5549066190
MAT-323   0.4557694578 0.8322482841
MAT-324   0.4557694578 0.8322482841
MAT-325   0.2696730841 0.5425595016
MAT-326   1.5258236068 4.0622754021
MAT-327   0.5488176447 0.9579897173
MAT-328   3.3867873442 4.1257192521
MAT-329   0.5953417381 1.1243055197
MAT-330   0.5488176447 1.1243055197
MAT-331   1.0140585790 0.3721927475
MAT-332   0.2696730841 0.3481544357
MAT-333   2.4097813821 4.4682510532
MAT-334   0.4092453644 0.6837617380
MAT-335   0.5953417381 1.3988209707
