MAT-0   
MAT-240   8.1460739591 13.9443337756
MAT-241   93.1460739591 8.4983658560
MAT-242   87.3127406258 11.7851130198
MAT-243   93.9794072925 13.5400640077
MAT-244   11.4794072925 15.2752523165
MAT-245   11.4794072925 15.2752523165
MAT-246   70.6460739591 66.8746754925
MAT-247   20.6460739591 71.1024300257
MAT-248   13.1460739591 34.3187671366
MAT-249   51.4794072925 72.9535620941
MAT-250   13.1460739591 3.3333333333
MAT-251   55.6460739591 73.8993309247
MAT-252   10.6460739591 8.4983658560
MAT-253   79.8127406258 33.0823887355
MAT-254   8.9794072925 12.2474487139
MAT-255   8.1460739591 13.9443337756
MAT-256   89.8127406258 36.7423461417
MAT-257   10.6460739591 13.5400640077
MAT-258   73.1460739591 69.2419269261
MAT-259   8.9794072925 19.2930615047
MAT-260   12.3127406258 17.4801474695
MAT-261   83.1460739591 72.8392446114
MAT-262   58.9794072925 78.7753486540
MAT-263   34.8127406258 55.1764845242
MAT-264   8.1460739591 12.9099444874
MAT-265   8.1460739591 12.9099444874
MAT-266   57.3127406258 84.3932593411
MAT-267   70.6460739591 67.7003200386
MAT-268   88.9794072925 10.0000000000
MAT-269   101.4794072925 13.5400640077
MAT-270   61.4794072925 84.2285251233
MAT-271   98.9794072925 43.2691832858
MAT-272   100.6460739591 34.7211110933
MAT-273   6.4794072925 10.0000000000
MAT-274   11.4794072925 11.0554159679
MAT-275   17.3127406258 23.2139804620
MAT-276   73.1460739591 80.0347146903
MAT-277   96.4794072925 8.1649658093
MAT-278   79.8127406258 68.5970520909
MAT-279   5.6460739591 8.4983658560
MAT-280   1.4794072925 11.3038833052
MAT-281   109.8127406258 37.4907395973
MAT-282   13.9794072925 22.7303028283
MAT-283   3.9794072925 9.1287092918
MAT-284   58.9794072925 91.3479307070
MAT-285   96.4794072925 22.6077666104
MAT-286   98.1460739591 8.4983658560
MAT-287   10.6460739591 12.4721912892
MAT-288   48.1460739591 78.4573486396
MAT-289   92.3127406258 8.1649658093
MAT-290   19.8127406258 9.7182531581
MAT-291   7.3127406258 11.0554159679
MAT-292   37.3127406258 57.2518801244
MAT-293   48.1460739591 83.0996724155
MAT-294   5.6460739591 8.4983658560
MAT-295   45.6460739591 79.4075283305
MAT-296   13.1460739591 21.3437474581
MAT-297   8.9794072925 8.1649658093
MAT-298   11.4794072925 22.6077666104
MAT-299   11.4794072925 21.9848432638
MAT-300   8.1460739591 11.7851130198
MAT-301   59.8127406258 86.0555376228
MAT-302   21.4794072925 15.2752523165
MAT-303   64.8127406258 85.4075198355
MAT-304   11.4794072925 14.3372087784
MAT-305   74.8127406258 81.1377429643
MAT-306   34.8127406258 62.7162924074
MAT-307   13.9794072925 8.4983658560
MAT-308   10.6460739591 15.4560308258
MAT-309   99.8127406258 22.9734145868
MAT-310   8.9794072925 8.1649658093
MAT-311   11.4794072925 16.1589328581
MAT-312   85.6460739591 98.6858089539
