MAT-0   
MAT-279   3.22951 0.002088
MAT-280   3.23003 0.001352
MAT-281   3099.30566 6458.434644
MAT-282   3.23207 0.033877
MAT-283   3.54985 1.511991
MAT-284   1776.46810 3703.613907
MAT-285   4.09623 3.259409
MAT-286   -inf nan
MAT-287   -nan nan
MAT-288   -nan nan
MAT-289   1331.90239 7172.972770
MAT-290   -nan nan
MAT-291   3.23000 0.000185
MAT-292   3.22438 0.209129
MAT-293   -3224.78238 15504.217375
MAT-294   -nan nan
MAT-295   2440.87662 7307.311641
MAT-296   1098.88152 4381.199281
MAT-297   -nan nan
MAT-298   3.22979 0.000684
MAT-299   3.22997 0.000269
MAT-300   3.22997 0.000269
MAT-301   3.47345 1.182423
MAT-302   3.49169 1.048670
MAT-303   2288.48780 8758.036156
MAT-304   3.23007 0.000211
MAT-305   93.25160 2621.764613
MAT-306   1067.29719 4255.408359
MAT-307   3.23003 0.000276
MAT-308   3.23006 0.000084
MAT-309   18.23951 59.861648
MAT-310   3.23003 0.000256
MAT-311   -nan nan
MAT-312   -1425.03171 4423.954580
MAT-313   206.49330 1499.026285
MAT-314   3.23004 0.000155
MAT-315   -nan nan
MAT-316   -nan nan
MAT-317   14.68695 45.274132
MAT-318   639.72262 1405.077033
MAT-319   5588.52579 12006.149693
MAT-320   -10809.12722 55964.807394
MAT-321   -6986.07430 131742.577324
MAT-322   607.48479 2417.634361
MAT-323   3.37343 0.398834
MAT-324   3.22974 0.001000
MAT-325   3.22996 0.000223
MAT-326   761.10076 3031.096046
MAT-327   3.22996 0.000273
MAT-328   142.18975 2282.252095
MAT-329   5.55306 6.134760
MAT-330   -nan nan
MAT-331   3.37942 0.683669
MAT-332   3.23004 0.000146
MAT-333   -4339.17324 19241.593797
MAT-334   3.33811 0.340456
MAT-335   -nan nan
MAT-336   4.56807 5.247772
MAT-337   3.22998 0.000106
MAT-338   32.99461 4257.423460
MAT-339   8820.44461 14081.025076
MAT-340   3.22933 0.003710
MAT-341   -2886.79671 18909.157299
MAT-342   -2886.79671 18909.157299
MAT-343   3.50781 0.535352
MAT-344   -nan nan
MAT-345   3.28437 0.194257
MAT-346   1946.70940 5993.489751
MAT-347   3.22996 0.000162
MAT-348   3.23019 0.000369
MAT-349   9522.27894 35791.286192
MAT-350   3.35834 0.368451
MAT-351   -1779.97823 7796.183515
MAT-352   3.22997 0.000179
MAT-353   -12112.53082 82145.990258
MAT-354   168.29346 660.314152
MAT-355   3.23009 0.000054
MAT-356   46081.80438 219029.245852
MAT-357   3.23010 0.000456
MAT-358   3.22995 0.000187
MAT-359   14126.38580 137841.743967
MAT-360   -nan nan
MAT-361   3.75671 2.106812
MAT-362   3.75671 2.106812
MAT-363   805.18647 1442.483744
MAT-364   3.23330 0.012921
MAT-365   3.23330 0.012921
MAT-366   -72783.65831 239185.706601
MAT-367   3.22981 0.000804
MAT-368   -4004.30676 17944.364616
MAT-369   3.23032 0.001025
MAT-370   3.36901 0.408164
MAT-371   4.31668 3.594789
MAT-372   3.23548 0.082896
MAT-373   3.23005 0.000180
MAT-374   -5063.47199 20266.728653
MAT-375   2123.41310 8104.278460
MAT-376   3.23129 0.073075
MAT-377   3.23021 0.000529
MAT-378   -2825.74474 16996.522354
MAT-379   2209.43869 6460.547004
MAT-380   3.22988 0.000504
MAT-381   4.02958 2.691299
MAT-382   618.10295 4083.652386
MAT-383   3.23021 0.000377
MAT-384   3.22668 0.175218
MAT-385   1497.16534 3604.253364
MAT-386   3.20792 0.038662
MAT-387   3.22976 0.000905
MAT-388   382.62065 1476.955705
MAT-389   -nan nan
MAT-390   3.23003 0.000204
MAT-391   1524.49853 16324.099494
MAT-392   3.69150 1.026846
MAT-393   3.22995 0.000446
MAT-394   3.22452 0.012186
MAT-395   78721.24178 197631.128639
MAT-396   -nan nan
MAT-397   3.23013 0.000546
MAT-398   3.23013 0.000546
MAT-399   3.13561 0.314106
