MAT-0   
MAT-240   8.1636815131 13.9443337756
MAT-241   13.1636815131 14.3372087784
MAT-242   19.8303481797 43.2691832858
MAT-243   136.4970148464 79.4774601171
MAT-244   11.4970148464 15.2752523165
MAT-245   8.9970148464 13.3333333333
MAT-246   94.8303481797 41.9655943734
MAT-247   8.1636815131 13.9443337756
MAT-248   7.3303481797 12.2474487139
MAT-249   14.8303481797 20.1384099560
MAT-250   7.3303481797 14.3372087784
MAT-251   50.6636815131 109.2143661694
MAT-252   9.8303481797 8.4983658560
MAT-253   133.9970148464 102.1164912136
MAT-254   12.3303481797 19.0029237517
MAT-255   12.3303481797 19.0029237517
MAT-256   85.6636815131 29.1547594742
MAT-257   7.3303481797 9.7182531581
MAT-258   83.9970148464 49.5535624911
MAT-259   10.6636815131 8.4983658560
MAT-260   7.3303481797 14.3372087784
MAT-261   168.1636815131 155.6884353088
MAT-262   13.9970148464 20.1384099560
MAT-263   49.8303481797 109.2906420717
MAT-264   8.1636815131 12.9099444874
MAT-265   6.4970148464 10.0000000000
MAT-266   12.3303481797 22.9734145868
MAT-267   102.3303481797 222.0235222774
MAT-268   10.6636815131 8.4983658560
MAT-269   13.9970148464 17.1593835683
MAT-270   140.6636815131 89.1939210684
MAT-271   248.1636815131 230.7355388511
MAT-272   169.8303481797 141.7548744998
MAT-273   11.4970148464 11.0554159679
MAT-274   11.4970148464 11.0554159679
MAT-275   16.4970148464 10.5409255339
MAT-276   97.3303481797 33.1662479036
MAT-277   4.8303481797 9.7182531581
MAT-278   95.6636815131 15.8113883008
MAT-279   12.3303481797 11.7851130198
MAT-280   13.9970148464 15.4560308258
MAT-281   124.8303481797 65.6167322834
MAT-282   9.8303481797 10.0000000000
MAT-283   10.6636815131 14.5296631451
MAT-284   169.8303481797 14.3372087784
MAT-285   8.1636815131 15.8113883008
MAT-286   171.4970148464 156.8261599493
MAT-287   3.9970148464 13.9443337756
MAT-288   8.1636815131 14.9071198500
MAT-289   221.4970148464 165.4455264497
MAT-290   4.8303481797 13.3333333333
MAT-291   8.1636815131 10.5409255339
MAT-292   10.6636815131 15.4560308258
MAT-293   147.3303481797 241.3273479921
MAT-294   94.8303481797 152.4248448690
MAT-295   92.3303481797 13.3333333333
MAT-296   23.9970148464 48.1317635940
MAT-297   11.4970148464 22.6077666104
MAT-298   9.8303481797 10.0000000000
MAT-299   7.3303481797 13.3333333333
MAT-300   7.3303481797 13.3333333333
MAT-301   22.3303481797 21.4734978779
MAT-302   23.9970148464 20.0000000000
MAT-303   53.1636815131 80.1734231387
MAT-304   13.9970148464 6.6666666667
MAT-305   85.6636815131 23.3333333333
MAT-306   26.4970148464 58.8312086491
MAT-307   13.9970148464 8.4983658560
MAT-308   5.6636815131 8.4983658560
MAT-309   11.4970148464 16.9967317120
MAT-310   9.8303481797 17.1593835683
MAT-311   8.1636815131 19.0029237517
MAT-312   65.6636815131 81.2061847672
MAT-313   92.3303481797 21.9848432638
MAT-314   8.1636815131 11.7851130198
MAT-315   8.9970148464 16.1589328581
MAT-316   8.1636815131 15.8113883008
MAT-317   20.6636815131 40.1386485960
MAT-318   47.3303481797 77.0281333886
MAT-319   218.9970148464 209.2048437935
MAT-320   130.6636815131 191.6739129065
MAT-321   97.3303481797 11.3038833052
MAT-322   38.1636815131 99.4987437107
MAT-323   8.1636815131 14.9071198500
MAT-324   8.1636815131 14.9071198500
MAT-325   4.8303481797 9.7182531581
MAT-326   27.3303481797 72.7629331765
MAT-327   9.8303481797 17.1593835683
MAT-328   60.6636815131 73.8993309247
MAT-329   10.6636815131 20.1384099560
MAT-330   9.8303481797 20.1384099560
MAT-331   18.1636815131 6.6666666667
MAT-332   4.8303481797 6.2360956446
MAT-333   43.1636815131 80.0347146903
MAT-334   7.3303481797 12.2474487139
MAT-335   10.6636815131 25.0554939640
MAT-336   9.8303481797 14.5296631451
MAT-337   12.3303481797 9.1287092918
MAT-338   52.3303481797 68.8395880935
MAT-339   108.1636815131 120.7614728849
MAT-340   8.1636815131 13.9443337756
MAT-341   170.6636815131 87.7179824463
MAT-342   170.6636815131 87.7179824463
MAT-343   14.8303481797 17.1593835683
MAT-344   8.9970148464 26.5622957508
MAT-345   12.3303481797 5.2704627669
MAT-346   88.9970148464 41.6999866773
MAT-347   5.6636815131 4.0824829046
MAT-348   12.3303481797 15.8113883008
MAT-349   99.8303481797 146.1544084560
MAT-350   11.4970148464 15.2752523165
MAT-351   37.3303481797 51.0990323892
MAT-352   8.1636815131 7.4535599250
MAT-353   128.1636815131 147.0449666674
MAT-354   22.3303481797 69.6419413859
MAT-355   16.4970148464 11.7851130198
MAT-356   171.4970148464 13.3333333333
MAT-357   8.9970148464 12.2474487139
MAT-358   3.9970148464 5.2704627669
MAT-359   96.4970148464 16.1589328581
MAT-360   94.8303481797 43.2691832858
MAT-361   11.4970148464 12.2474487139
MAT-362   11.4970148464 12.2474487139
MAT-363   145.6636815131 159.6871942267
MAT-364   9.8303481797 13.5400640077
MAT-365   9.8303481797 13.5400640077
MAT-366   81.4970148464 61.5990620419
MAT-367   13.1636815131 11.0554159679
